"","recordTime","cognitoId","device","sensorname","alpha","beta","gamma"
"66",1423452138.84,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",120.648683793668,17.8570798746749,-15.4468825816595
"67",1423452139.174,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",127.455689134021,16.1513271643347,4.36210977716964
"68",1423452139.508,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",122.725066046158,25.2105887378391,-1.03663850983883
"69",1423452139.842,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",113.819225002178,23.814583345495,-1.88856413456836
"70",1423452140.178,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",114.746454939189,25.1516790489142,0.815375806631166
"71",1423452140.512,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",120.108026063292,25.4769835712099,-4.92687653098787
"72",1423452140.847,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",125.539261999449,18.6472630354281,-6.54255051745117
"73",1423452141.181,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",164.957494739354,7.83915624932657,-9.4457987847971
"74",1423452141.517,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",186.174958817116,4.02250878029693,-10.4173736171978
"75",1423452141.852,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",205.669195842478,4.21374846767908,-20.5345179884186
"76",1423452142.186,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",217.017268245001,6.66993389000086,-24.4774984303889
"77",1423452142.521,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",221.564579274648,3.22270373789616,-30.5349928560669
"78",1423452142.855,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",215.811810982636,-0.456837827607223,-28.2962169496356
"79",1423452143.192,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",211.631679293646,2.1399772130889,-25.7615598290445
"80",1423452143.526,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",212.727017686191,4.0559736018132,-17.1022163551806
"81",1423452143.859,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",221.401102549525,9.64212159079191,-19.9002209644862
"82",1423452144.235,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",227.353312319577,11.599898144596,-20.7958603450345
"83",1423452144.576,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",225.400109623113,7.40473162506259,-18.2970731864735
"84",1423452144.912,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",214.529990199788,4.72977859694652,-18.2285890514817
"85",1423452145.245,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",211.119393940104,5.83082121607648,-20.1704549433901
"86",1423452145.579,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",215.745832208974,6.91469312856297,-19.8345180281484
"87",1423452145.921,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",217.698899422461,6.30427338341752,-23.4437213761798
"88",1423452146.256,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",215.804479462225,7.0247166252939,-22.2217720105616
"89",1423452146.593,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",208.596871016713,-0.902359613130299,-24.3114345851582
"90",1423452146.928,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",199.615713033251,-15.9264563582935,-26.1431547287245
"91",1423452147.262,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",204.344636667889,2.73628403193892,-22.8124103623717
"92",1423452147.596,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",213.624517411989,24.0256695758294,-24.1756458809371
"93",1423452147.93,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",211.288418053985,26.5211538500271,-31.3429665079256
"94",1423452148.268,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",205.80896513068,2.8601676892329,-50.6697220870086
"95",1423452148.602,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",202.949443148002,-3.36438289265227,-49.7943047561426
"96",1423452148.936,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",198.920975688527,-1.76797224644571,-6.86252410648365
"97",1423452149.275,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",197.626088634421,1.68019616056664,11.878623763833
"98",1423452149.609,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",198.381714179888,2.67507706467937,5.5222924059548
"99",1423452149.942,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",202.446793949331,5.84333754686692,-11.1466030094877
"100",1423452150.278,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",212.915004876421,4.55302997399447,-6.33062222335297
"101",1423452150.615,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",217.999676031008,4.45713836540303,9.62599716101917
"102",1423452150.95,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",218.459943999073,3.8262688598451,-9.82482791268059
"103",1423452151.283,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",212.298533811166,0.855663477044693,-20.9125068505568
"104",1423452151.619,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",214.534177413399,1.27274425468544,2.20807486888227
"105",1423452151.953,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",220.796455550727,10.9978648319414,-11.9030046551635
"106",1423452152.287,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",231.299723974301,31.8838301290587,-12.7600079883876
"107",1423452152.621,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",239.919850016227,44.4970404549336,-10.3892231032744
"108",1423452152.954,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",245.924448544658,44.4463306611532,-10.3983381091238
"109",1423452153.288,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",251.738324366432,3.32846443314655,-18.0807753133339
"110",1423452153.621,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",262.41523264837,-9.58133419100356,-21.7360054808518
